,secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,Close,moneyness
779042,108105,2020-12-14,10,-90,0.105406,3729.248,86.12047,0.012029999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.2414868850776815
779043,108105,2020-12-14,10,-85,0.112239,3717.732,76.83221999999999,0.01168,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.9257629206300253
779044,108105,2020-12-14,10,-80,0.11924900000000001,3707.985,69.82439000000001,0.011159,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.6585380611760847
779045,108105,2020-12-14,10,-75,0.126182,3698.71,63.8292,0.010708,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.4042536073507916
779046,108105,2020-12-14,10,-70,0.132971,3689.389,58.36798,0.010478,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.1487080122989601
779047,108105,2020-12-14,10,-65,0.1397,3679.778,53.26186,0.010526,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.8852117442973428
779048,108105,2020-12-14,10,-60,0.146515,3669.708,48.43639,0.010837000000000001,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.609131480144165
779049,108105,2020-12-14,10,-55,0.153577,3659.002,43.84615,0.011391,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.3156145677286837
779050,108105,2020-12-14,10,-50,0.161053,3647.448,39.4573,0.012202,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.0011512090365539684
779051,108105,2020-12-14,10,-45,0.16913699999999998,3634.7690000000002,35.24127,0.013302000000000001,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.34876011362425796
779052,108105,2020-12-14,10,-40,0.178052,3620.597,31.169620000000002,0.014753,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.7373012758465913
779053,108105,2020-12-14,10,-35,0.188065,3604.4190000000003,27.2129,0.016687,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.180839161990599
779054,108105,2020-12-14,10,-30,0.199534,3585.494,23.34122,0.019502000000000002,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.6996891122487034
779055,108105,2020-12-14,10,-25,0.21311999999999998,3562.63,19.5384,0.024718,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.326531134055887
779056,108105,2020-12-14,10,-20,0.23049699999999998,3533.4959999999996,15.82342,0.035638,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-3.125272188260353
779057,108105,2020-12-14,10,-15,0.25455500000000003,3493.4440000000004,12.17034,0.053872,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-4.223342370967719
779058,108105,2020-12-14,10,-10,0.286587,3434.952,8.356486,0.075446,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-5.826965688827501
779059,108105,2020-12-14,10,10,0.147799,3763.328,4.182311,0.015536000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.175828037246564
779060,108105,2020-12-14,10,15,0.149581,3741.9970000000003,6.940102,0.00996,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.5910149176187947
779061,108105,2020-12-14,10,20,0.153341,3725.9970000000003,10.21302,0.008562,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.1523570996991426
779062,108105,2020-12-14,10,25,0.158331,3712.368,14.07448,0.009119,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.7787028871724564
779063,108105,2020-12-14,10,30,0.164142,3699.7509999999997,18.60225,0.009998,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.4327937816291714
779064,108105,2020-12-14,10,35,0.170628,3687.427,23.89555,0.010955,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.0949175973765657
779065,108105,2020-12-14,10,40,0.177799,3674.933,30.08855,0.012052,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.7523806738085614
779066,108105,2020-12-14,10,45,0.185778,3661.8959999999997,37.367509999999996,0.013413999999999999,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.3949568005448878
